Instance,country,region_code,region_name,latitude,longitude,location_geom,total_hospitalized_patients,recovered,deaths
1,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
2,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
3,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
4,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
5,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
6,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
7,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
8,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
9,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
10,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
11,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
12,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,0,0
13,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,0,0
14,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,0,0
15,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,0,0
16,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,0,0
17,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,0,1
18,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,0,1
19,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,0,1
20,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),12,0,1
21,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),13,0,1
22,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),33,0,2
23,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),41,0,2
24,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),44,0,3
25,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),56,0,6
26,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),63,0,7
27,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),77,1,8
28,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),84,1,9
29,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),89,2,12
30,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),91,2,19
31,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),95,2,24
32,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),97,2,28
33,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),115,2,37
34,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),116,2,41
35,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),116,2,43
36,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),118,16,50
37,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),117,20,56
38,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),112,32,59
39,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),110,49,63
40,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),110,89,70
41,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),86,106,82
42,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),119,115,91
43,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),130,142,96
44,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),135,142,100
45,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),140,142,102
46,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),136,154,105
